Nombre de la Tabla/Vista;Tipo (Tabla o Vista);Columna;Tipo de Dato Completo;Tipo de Clave;Tabla Referenciada;Columna Referenciada;Descripción
attendance;BASE TABLE;attendance_id;INT(11);Clave Primaria;;;Identificador único de cada registro de asistencia. (Clave primaria)
attendance;BASE TABLE;course_id;INT(11);Clave Foránea;course;course_id;Identificador del curso al que pertenece el registro de asistencia. (Clave foránea)
attendance;BASE TABLE;date;DATE;;;;Fecha en la que se tomó la asistencia.
attendance;BASE TABLE;status;VARCHAR(10);;;;Estado de asistencia del estudiante (por ejemplo, presente, ausente).
attendance;BASE TABLE;student_id;INT(11);Clave Foránea;student;student_id;Identificador del estudiante al que corresponde la asistencia. (Clave foránea)
attendance_log;BASE TABLE;attendance_id;INT(11);Clave Foránea;attendance;attendance_id;Identificador del registro de asistencia asociado. (Clave foránea)
attendance_log;BASE TABLE;changed_by;VARCHAR(100);;;;Identificador del usuario o administrador que realizó el cambio.
attendance_log;BASE TABLE;change_date;DATETIME;;;;Fecha en la que se realizó el cambio en el registro de asistencia.
attendance_log;BASE TABLE;log_id;INT(11);Clave Primaria;;;Identificador único del registro de cambio de asistencia. (Clave primaria)
attendance_log;BASE TABLE;new_status;VARCHAR(10);;;;Nuevo estado de asistencia después de la modificación.
attendance_log;BASE TABLE;old_status;VARCHAR(10);;;;Estado de asistencia antes de la modificación.
classroom;BASE TABLE;capacity;INT(11);;;;Capacidad máxima de estudiantes que pueden ocupar el aula.
classroom;BASE TABLE;classroom_id;INT(11);Clave Primaria;;;Identificador único del aula. (Clave primaria)
classroom;BASE TABLE;classroom_name;VARCHAR(50);;;;Nombre o código que identifica el aula.
course;BASE TABLE;course_id;INT(11);Clave Primaria;;;Identificador único del curso. (Clave primaria)
course;BASE TABLE;course_name;VARCHAR(100);;;;Nombre del curso.
course;BASE TABLE;description;TEXT;;;;Breve descripción del contenido o propósito del curso.
course;BASE TABLE;end_date;DATE;;;;Fecha de finalización del curso.
course;BASE TABLE;start_date;DATE;;;;Fecha de inicio del curso.
course_material;BASE TABLE;course_id;INT(11);Clave Foránea;course;course_id;Identificador del curso al que pertenece el material. (Clave foránea)
course_material;BASE TABLE;material_id;INT(11);Clave Primaria;;;Identificador único del material de curso. (Clave primaria)
course_material;BASE TABLE;material_title;VARCHAR(100);;;;Título del material de curso.
course_material;BASE TABLE;material_type;VARCHAR(50);;;;Tipo de material (por ejemplo, documento, video).
